# Played Tickets - EuroMillions
# Country: Europe
# Generated: 2025-11-08
# Total tickets: 100
# Seed: 12345
# Combo Strategy: 3-combos
#
# Format: N1, N2, N3, N4, N5 / Star1, Star2
#
13, 15, 19, 33, 35 / 1, 3
10, 34, 46, 48, 49 / 8, 12
24, 25, 27, 34, 46 / 3, 11
 1, 12, 14, 18, 21 / 3, 9
 5, 15, 21, 29, 30 / 3, 4
10, 17, 39, 44, 45 / 4, 6
 1, 25, 30, 33, 35 / 1, 11
14, 27, 32, 39, 41 / 4, 7
17, 22, 28, 29, 32 / 5, 6
 6,  8, 19, 44, 47 / 3, 7
18, 22, 31, 32, 41 / 8, 9
 6,  7, 11, 33, 46 / 1, 2
 2,  7,  9, 31, 39 / 2, 3
 1,  7, 13, 15, 22 / 5, 6
 6, 28, 30, 37, 48 / 1, 9
 7, 20, 35, 36, 39 / 11, 12
 1,  8, 21, 22, 42 / 3, 8
13, 19, 43, 48, 50 / 2, 4
14, 15, 17, 26, 27 / 4, 7
10, 14, 16, 18, 41 / 4, 8
10, 30, 32, 34, 47 / 7, 12
 5, 33, 35, 43, 44 / 1, 2
 1, 19, 27, 29, 31 / 1, 10
10, 11, 19, 21, 24 / 9, 10
13, 17, 19, 20, 24 / 2, 3
 1,  2, 12, 17, 34 / 6, 9
 4, 13, 14, 19, 25 / 3, 10
 5, 29, 32, 36, 37 / 4, 8
 4, 32, 35, 47, 49 / 3, 11
 4,  7, 29, 30, 50 / 4, 5
 6, 18, 26, 27, 41 / 11, 12
10, 15, 33, 34, 41 / 4, 6
13, 23, 26, 34, 36 / 2, 9
 3, 18, 29, 30, 49 / 10, 12
 3, 10, 14, 16, 47 / 3, 11
17, 18, 23, 27, 34 / 4, 11
 5, 17, 35, 36, 41 / 6, 8
 3,  9, 29, 45, 46 / 3, 4
 5, 31, 35, 37, 48 / 6, 7
 6, 18, 19, 30, 35 / 11, 12
 3, 24, 27, 38, 39 / 4, 5
 8, 10, 22, 31, 37 / 4, 8
 1,  2,  6, 34, 38 / 1, 12
 5,  8, 19, 21, 41 / 4, 5
 4, 17, 22, 23, 35 / 10, 11
15, 22, 43, 46, 48 / 4, 12
15, 16, 20, 43, 48 / 4, 9
10, 18, 45, 46, 49 / 3, 10
 3, 17, 24, 29, 31 / 3, 5
 5, 10, 11, 21, 39 / 4, 9
16, 26, 37, 38, 40 / 1, 7
 3, 15, 31, 33, 34 / 5, 8
14, 16, 22, 33, 34 / 3, 9
 1,  7,  9, 10, 25 / 5, 12
13, 14, 18, 19, 39 / 7, 9
 1, 13, 14, 15, 31 / 8, 10
25, 42, 45, 46, 48 / 4, 11
 9, 15, 16, 21, 23 / 10, 11
 9, 11, 12, 28, 36 / 5, 6
25, 31, 40, 42, 43 / 4, 7
 2,  9, 10, 38, 47 / 2, 3
15, 20, 44, 46, 49 / 8, 12
10, 13, 24, 30, 32 / 7, 11
11, 32, 35, 37, 49 / 8, 11
 4,  7, 25, 44, 45 / 3, 11
24, 27, 29, 43, 50 / 2, 6
 3, 27, 38, 43, 45 / 2, 12
10, 11, 16, 19, 49 / 6, 8
19, 23, 32, 33, 46 / 3, 8
 5,  9, 16, 43, 45 / 1, 3
 5, 27, 36, 44, 46 / 4, 5
 1, 11, 17, 40, 41 / 6, 11
 3,  6, 13, 15, 31 / 1, 7
 9, 10, 21, 35, 48 / 2, 8
 4, 11, 12, 20, 43 / 2, 7
 2, 11, 19, 23, 24 / 4, 7
 3, 19, 21, 26, 27 / 2, 9
18, 20, 25, 36, 44 / 2, 3
 3,  4, 14, 27, 32 / 3, 6
12, 17, 25, 33, 34 / 6, 9
20, 34, 38, 39, 43 / 3, 4
13, 25, 28, 40, 41 / 2, 6
22, 28, 33, 47, 49 / 6, 10
 7, 14, 24, 26, 47 / 9, 10
 4, 27, 44, 47, 48 / 6, 12
13, 15, 25, 45, 50 / 1, 10
16, 23, 26, 38, 39 / 2, 5
 4,  8, 13, 14, 45 / 5, 10
 2,  4,  9, 11, 33 / 2, 12
 1,  2, 10, 18, 19 / 3, 12
11, 13, 26, 35, 47 / 8, 9
 9, 10, 22, 36, 41 / 2, 6
 4, 21, 31, 33, 49 / 4, 10
 6, 37, 38, 42, 47 / 2, 9
10, 20, 41, 43, 50 / 4, 6
21, 22, 28, 37, 43 / 6, 10
 6, 15, 33, 34, 48 / 2, 10
 6,  8, 14, 47, 50 / 5, 12
 6, 14, 27, 48, 50 / 10, 12
 4, 17, 33, 37, 39 / 4, 7
