# Played Tickets - 6/49
# Country: Romania
# Generated: 2025-11-08
# Total tickets: 100
# Seed: 12345
# Combo Strategy: 4-combos
#
# Format: N1, N2, N3, N4, N5, N6 / Bonus
#
17, 18, 19, 35, 42, 43
14, 15, 17, 25, 26, 30
14, 23, 43, 45, 47, 48
 3,  4,  6, 13, 14, 31
 2,  4,  5,  9, 10, 32
21, 40, 42, 44, 45, 47
22, 24, 30, 39, 41, 42
 1, 16, 27, 29, 31, 32
 9, 11, 17, 36, 38, 39
 9, 10, 11, 28, 30, 32
11, 12, 13, 14, 22, 45
13, 18, 20, 21, 29, 31
25, 27, 29, 31, 40, 42
10, 11, 19, 32, 33, 34
17, 19, 33, 34, 44, 46
22, 24, 29, 30, 45, 47
 6, 35, 36, 44, 45, 46
12, 35, 36, 37, 41, 43
10, 12, 14, 15, 22, 47
 5,  9, 10, 12, 16, 17
11, 16, 17, 18, 20, 40
 2,  4,  5, 11, 13, 19
 2, 34, 36, 37, 45, 46
16, 25, 27, 28, 41, 43
 3,  6,  7,  9, 34, 36
18, 19, 21, 22, 42, 44
14, 16, 17, 18, 36, 37
12, 14, 15, 20, 32, 33
 3,  4, 14, 16, 35, 36
21, 22, 33, 34, 37, 38
11, 13, 19, 24, 26, 27
 3, 12, 14, 43, 45, 47
15, 16, 23, 42, 44, 45
15, 16, 17, 34, 36, 37
26, 29, 30, 37, 38, 40
 8, 10, 11, 13, 32, 45
 4,  6,  7, 35, 43, 44
 3, 15, 16, 17, 29, 30
17, 18, 41, 42, 43, 47
 5,  7,  9, 16, 18, 38
18, 19, 20, 32, 39, 40
 4, 16, 18, 19, 21, 28
 1,  3,  7,  8, 28, 30
 1,  3, 26, 40, 41, 43
 3,  5,  6, 16, 18, 48
16, 17, 19, 35, 37, 42
 7,  8, 10, 17, 19, 25
 1,  3,  5, 10, 16, 17
 2,  4,  6, 25, 33, 35
 3, 17, 18, 19, 20, 44
14, 15, 17, 28, 30, 40
 1,  3, 16, 18, 22, 24
23, 25, 42, 44, 45, 47
20, 22, 23, 24, 42, 43
 5,  7, 16, 18, 19, 48
 4,  6,  7, 13, 15, 32
25, 26, 28, 36, 37, 41
13, 17, 18, 20, 21, 36
 6,  8,  9, 11, 26, 34
 6,  8, 17, 19, 20, 22
18, 19, 29, 30, 40, 41
 9, 10, 12, 23, 36, 38
22, 23, 28, 30, 43, 44
 6,  7,  9, 20, 22, 35
 8, 17, 19, 34, 35, 37
 7, 32, 33, 35, 40, 42
 6, 15, 17, 28, 29, 31
17, 18, 19, 20, 33, 39
 8, 35, 37, 45, 46, 47
 5,  6, 11, 13, 32, 34
11, 13, 14, 18, 19, 26
16, 28, 29, 31, 32, 41
 3, 10, 11, 34, 35, 36
31, 32, 34, 42, 43, 47
18, 23, 24, 26, 27, 42
 9, 26, 27, 29, 31, 40
32, 33, 35, 40, 41, 46
12, 13, 15, 17, 31, 40
16, 25, 27, 28, 33, 35
20, 21, 22, 26, 28, 49
23, 25, 34, 35, 36, 40
19, 20, 25, 27, 35, 36
12, 13, 41, 42, 43, 49
 7,  9, 12, 32, 33, 35
23, 25, 35, 36, 46, 47
 7, 20, 21, 23, 24, 44
 7,  8, 33, 42, 44, 46
 1,  6,  7,  9, 10, 25
 4, 12, 13, 14, 15, 34
21, 22, 30, 31, 33, 35
 5,  7,  9, 11, 20, 34
 6, 21, 39, 40, 41, 43
12, 13, 14, 27, 41, 42
10, 19, 22, 23, 24, 25
 4,  6,  7,  9, 31, 34
11, 12, 14, 15, 18, 49
 9, 10, 11, 12, 40, 49
12, 14, 15, 16, 26, 37
 6, 17, 18, 19, 21, 23
12, 13, 15, 18, 33, 35
